Family.Unique,Block.ID,HabitatType,Region,Population,Dist.from.cg.km,Germination.Y.N,Survival.Y.N,Survival.Y.N.2017,Flower.Y.N.2016,Flower.Y.N.2017,No.Flowers.2016,Total.Flowers.2017,Fruit.Y.N.2016,Fruit.Y.N.2017,No.Fruit.2016,No.Fruit.2017,sm,sm.2,Flowering.Y.N.2018,Total.Flowers.2018,Fruit.Y.N.2018,No.Fruit.2018,seedmass.2018.g.,Surv2017,Surv2018,sm.3,sm2017,sm2018
AB-HSC_16,12,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_4,1,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_5,9,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_4,11,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_11,4,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_13,6,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_5,8,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_13,3,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_14,12,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_13,1,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_17,4,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_14,1,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_5,4,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_17,11,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_7,6,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_5,2,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_8,1,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_7,11,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_8,11,Prairie,Prairie,AB-HSC,1070.778,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AB-HSC_4,9,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_8,6,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_13,10,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_11,9,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_7,3,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_8,4,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_13,11,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_5,10,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_11,8,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_16,3,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_17,7,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_3,5,Prairie,Prairie,AB-HSC,1070.778,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_8,10,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_11,5,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-HSC_8,8,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
